HOUSEID,NUMADLT,HHVEHCNT,HHFAMINC,URBAN,HOMETYPE,HOMEOWN,WTHHFIN,DRVRCNT,HHSIZE,VMT,VEH_PER_ADULT,INCOME_PER_VEHICLE
9000013537,3,2,6,1,1,2,10159.4383982077,2,3,208000.0,0.6666666666666666,3.0
9000013541,1,1,11,1,3,3,13310.2861421629,1,1,6000.0,1.0,11.0
9000013565,1,0,9,1,3,3,7697.08696568553,0,1,0.0,0.0,9.0
9000013572,1,1,10,1,3,3,11515.3150218172,1,3,8000.0,1.0,10.0
9000013589,2,2,9,1,2,2,7941.60282476936,2,2,40486.0,1.0,4.5
9000013594,2,3,10,1,1,1,17631.4748633769,2,2,32000.0,1.5,3.3333333333333335
9000013598,2,1,5,1,1,2,35746.9882804113,2,2,2000.0,0.5,5.0
9000013613,1,1,6,1,1,1,6488.4036580057,1,1,2500.0,1.0,6.0
9000013626,2,2,10,1,1,1,3464.32477863642,2,2,45000.0,1.0,5.0
9000013657,2,2,6,1,2,3,5450.92787721155,2,2,33000.0,1.0,3.0
9000013670,2,2,7,1,1,2,8068.1436243099,2,2,18643.0,1.0,3.5
9000013703,2,1,8,1,1,2,23729.7757957216,2,2,3500.0,0.5,8.0
9000013704,2,2,4,1,1,2,28516.8073463341,2,2,4700.0,1.0,2.0
9000013707,1,1,6,1,3,3,8481.4752673869,1,1,20000.0,1.0,6.0
9000013744,2,0,2,1,3,3,48088.277945765,1,2,0.0,0.0,2.0
9000013761,1,1,4,1,1,2,8193.75578726497,1,1,8000.0,1.0,4.0
9000013772,2,2,3,4,1,2,14522.0452693315,2,2,17000.0,1.0,1.5
9000013774,1,0,1,2,3,3,26607.5966273081,0,1,0.0,0.0,1.0
9000013812,4,4,10,1,1,2,10992.6819265103,4,4,66818.0,1.0,2.5
9000013821,3,6,7,1,1,1,13512.7710624455,3,3,398.0,2.0,1.1666666666666667
9000013826,2,2,11,1,2,1,17492.0405224457,2,2,19009.0,1.0,5.5
9000013828,3,2,6,1,3,2,31336.4905174538,2,3,200.0,0.6666666666666666,3.0
9000013837,1,1,3,1,1,2,8312.3428656129,1,1,3000.0,1.0,3.0
9000013847,1,1,8,1,1,1,9613.32043445287,1,2,17000.0,1.0,8.0
9000013854,1,1,3,1,3,3,14954.9317225799,1,1,6000.0,1.0,3.0
9000013855,1,1,10,1,3,3,12993.6812640275,1,1,8000.0,1.0,10.0
9000013856,1,0,3,1,3,3,20413.4040142781,0,1,0.0,0.0,3.0
9000013868,1,0,6,1,3,3,6887.1007900866,0,1,0.0,0.0,6.0
9000013889,3,2,11,1,1,1,11258.5496016693,2,5,15000.0,0.6666666666666666,5.5
9000013896,2,3,11,4,1,1,17052.109724448,2,4,18000.0,1.5,3.6666666666666665
9000013899,1,1,2,1,1,2,6437.49958697217,1,1,5000.0,1.0,2.0
9000013901,3,1,6,1,3,2,8666.97531919214,1,3,100.0,0.3333333333333333,6.0
9000013904,1,0,4,1,3,3,29172.785229622,0,1,0.0,0.0,4.0
9000013906,1,0,8,1,3,2,15680.1844273006,0,1,0.0,0.0,8.0
9000013922,1,1,6,4,1,2,3588.52569862459,1,1,6000.0,1.0,6.0
9000013936,1,2,6,4,2,2,13631.7119844018,1,1,15700.0,2.0,3.0
9000013938,3,2,6,2,1,1,6614.90768658645,3,3,13000.0,0.6666666666666666,3.0
9000013949,2,1,6,4,4,1,14883.2938094362,1,2,11000.0,0.5,6.0
9000013953,1,1,4,2,3,3,5358.55190249377,1,2,200000.0,1.0,4.0
9000013970,1,1,5,2,1,1,5525.72229051574,1,1,5000.0,1.0,5.0
9000013982,1,2,7,2,1,1,7217.44027242223,1,2,864.0,2.0,3.5
9000013983,3,2,4,4,1,1,18570.2433888395,3,4,2500.0,0.6666666666666666,2.0
9000013986,2,2,3,2,3,3,4191.51367012631,2,5,13973.0,1.0,1.5
9000013987,2,2,6,4,1,2,4782.49378777185,2,2,14430.0,1.0,3.0
9000014012,2,1,1,4,3,3,21184.1160271461,2,4,0.0,0.5,1.0
9000014013,2,3,7,4,1,1,21500.5203671895,2,4,21929.0,1.5,2.3333333333333335
9000014017,2,1,3,4,4,3,12202.6515811724,2,3,10000.0,0.5,3.0
9000014027,1,2,3,4,4,2,3383.81908413921,1,1,5300.0,2.0,1.5
9000014029,2,1,5,2,2,1,46955.0086137175,1,6,200.0,0.5,5.0
9000014037,1,2,5,4,1,1,28222.9857614273,1,2,7700.0,2.0,2.5
9000014050,2,3,7,4,1,1,2575.65954631088,2,2,18700.0,1.5,2.3333333333333335
9000014066,1,1,1,2,2,3,36523.3622303205,1,6,10.0,1.0,1.0
9000014086,1,1,5,1,3,2,7599.32146023462,1,1,10000.0,1.0,5.0
9000014090,2,1,8,1,3,3,26964.5192013886,2,2,9000.0,0.5,8.0
9000014092,2,2,7,1,2,3,11166.4006911709,2,2,23000.0,1.0,3.5
9000014119,2,2,8,1,1,1,14548.4631989632,2,2,14520.0,1.0,4.0
9000014136,2,2,6,1,1,2,19111.4673822022,2,3,50000.0,1.0,3.0
9000014137,2,2,6,4,1,2,9861.23596276259,2,2,16500.0,1.0,3.0
9000014147,2,2,8,1,1,1,7844.19336965767,2,2,20000.0,1.0,4.0
9000014155,2,1,8,1,1,1,5525.26742582569,2,2,20000.0,0.5,8.0
9000014159,1,1,1,1,1,1,53214.1989217698,1,1,1500.0,1.0,1.0
9000014160,1,1,3,1,3,3,7410.06909333606,1,1,10000.0,1.0,3.0
9000014175,1,1,5,1,1,1,6363.18393183882,1,1,25000.0,1.0,5.0
9000014177,2,2,8,1,1,1,10392.142098405,2,4,19000.0,1.0,4.0
9000014183,1,1,3,1,1,1,3811.37833459369,1,1,4000.0,1.0,3.0
9000014188,2,2,10,1,1,1,27152.8201694229,2,2,10000.0,1.0,5.0
9000014197,1,1,5,1,3,3,13083.6860070148,1,1,12000.0,1.0,5.0
9000014198,2,2,7,1,1,1,8288.19722783702,2,2,9896.0,1.0,3.5
9000014202,3,2,5,1,1,3,30092.9085522075,2,5,12000.0,0.6666666666666666,2.5
9000014213,2,2,4,4,4,3,11393.4818358899,2,2,32000.0,1.0,2.0
9000014214,2,2,9,1,1,1,31520.4382193495,2,3,15000.0,1.0,4.5
9000014218,1,17,1,1,5,4,25610.4513071656,1,1,3468.0,17.0,0.058823529411764705
9000014220,2,3,8,4,1,1,7249.34597754868,2,2,16500.0,1.5,2.6666666666666665
9000014228,1,1,7,1,2,1,5174.99733110555,1,1,7600.0,1.0,7.0
9000014236,2,2,7,2,1,1,20015.1607747503,2,4,27200.0,1.0,3.5
9000014259,2,2,3,4,1,1,4386.01374629353,2,2,1320.0,1.0,1.5
9000014268,3,3,11,1,1,1,6079.29041502777,3,5,21250.0,1.0,3.6666666666666665
9000014271,2,2,5,1,1,2,10455.0559006588,2,2,15000.0,1.0,2.5
9000014277,1,1,3,4,3,3,8843.72587495573,1,1,80000.0,1.0,3.0
9000014280,2,2,6,1,1,1,6519.36376056455,2,2,14000.0,1.0,3.0
9000014285,2,4,9,1,1,2,33845.9141241733,2,2,28000.0,2.0,2.25
9000014287,2,2,7,1,1,1,20107.985041389,2,2,14333.0,1.0,3.5
9000014309,3,2,5,1,1,1,5064.06830404356,2,3,15000.0,0.6666666666666666,2.5
9000014324,2,1,7,1,2,2,3245.63374957629,2,2,2600.0,0.5,7.0
9000014334,2,2,8,1,1,1,4465.62188833819,2,2,27000.0,1.0,4.0
9000014346,3,3,9,1,1,1,4217.06914961853,3,3,40000.0,1.0,3.0
9000014347,2,2,7,1,1,1,6351.64505082976,1,2,2000.0,1.0,3.5
9000014348,1,1,5,1,1,2,9574.58200832039,1,1,-9.0,1.0,5.0
9000014349,1,3,6,1,1,1,15717.4817127865,1,1,1400.0,3.0,2.0
9000014356,2,2,3,4,1,3,4518.43091162672,2,2,10000.0,1.0,1.5
9000014360,2,2,5,1,1,2,21419.0470803777,2,2,20000.0,1.0,2.5
9000014364,2,2,9,1,1,1,3885.48914400068,2,4,12500.0,1.0,4.5
9000014371,1,2,7,4,1,2,18531.3034961946,1,1,550.0,2.0,3.5
9000014388,2,2,11,1,1,1,16842.4639671729,2,3,17500.0,1.0,5.5
9000014395,2,3,6,4,1,2,3226.4145794201,2,2,84000.0,1.5,2.0
9000014417,2,2,7,1,1,2,5152.66262878273,2,2,5000.0,1.0,3.5
9000014422,3,3,9,1,1,1,23055.859762894,3,4,60000.0,1.0,3.0
9000014425,2,2,11,1,1,2,6461.83709015698,2,2,12400.0,1.0,5.5
9000014436,1,1,5,1,3,3,11045.9800423923,1,1,18667.0,1.0,5.0
9000014449,2,2,5,4,1,1,13133.6122992181,2,3,11000.0,1.0,2.5
9000014454,2,1,7,1,1,1,10176.1994029629,2,2,5000.0,0.5,7.0
9000014457,2,2,6,1,3,3,54987.327953715,2,2,28857.0,1.0,3.0
9000014465,2,2,4,1,3,3,57776.60805623,2,5,166100.0,1.0,2.0
9000014484,4,2,5,1,2,3,9039.01160540016,1,4,441.0,0.5,2.5
9000014485,2,3,11,1,1,1,8058.75167639679,2,2,13000.0,1.5,3.6666666666666665
9000014489,1,1,4,1,3,3,2359.95510081095,1,1,10000.0,1.0,4.0
9000014497,1,0,1,1,1,3,25735.2998871914,1,4,0.0,0.0,1.0
9000014505,2,2,10,1,1,3,6516.69958958081,2,2,20000.0,1.0,5.0
9000014506,2,0,6,1,3,3,12110.7778754149,1,3,0.0,0.0,6.0
9000014516,1,1,1,1,3,3,52205.8695276441,1,1,10.0,1.0,1.0
9000014526,1,0,9,1,3,3,4634.96392722512,1,1,0.0,0.0,9.0
9000014555,3,4,10,4,1,2,16782.5015444111,3,3,39000.0,1.3333333333333333,2.5
9000014558,2,2,5,1,1,2,3130.1883378303,2,2,30000.0,1.0,2.5
9000014580,2,2,5,1,1,3,11660.8450577602,2,2,17635.0,1.0,2.5
9000014582,2,2,6,1,1,2,20770.6947918532,2,2,500.0,1.0,3.0
9000014585,2,1,11,1,1,1,11437.4517161919,2,2,12000.0,0.5,11.0
9000014603,2,1,8,1,3,3,35731.9004839587,2,2,8000.0,0.5,8.0
9000014608,2,4,6,1,1,1,15076.1098730282,3,3,14010.0,2.0,1.5
9000014648,4,2,6,1,1,1,12042.0131373233,3,4,17000.0,0.5,3.0
9000014666,2,1,6,1,1,2,11280.2149278189,2,2,10000.0,0.5,6.0
9000014674,1,1,8,1,3,1,17431.410150391,1,1,300.0,1.0,8.0
9000014686,2,2,6,4,1,1,15537.1784068068,2,8,17000.0,1.0,3.0
9000014694,2,3,6,1,1,1,57776.60805623,1,2,13660.0,1.5,2.0
9000014698,2,2,5,1,3,3,22532.0126774243,2,3,26000.0,1.0,2.5
9000014700,2,2,7,4,1,1,14563.8095398233,2,2,15800.0,1.0,3.5
